"Негосударственное образовательное учреждение Высшее профессиональное образование ""Сергиево-Посадский гуманитарный институт""";Организация инновационного межвузовского завода-лаборатории для производственной практики студентов;Российский Союз Молодежи;2
"Оренбургское региональное отделение Общественно-государственного физкультурно-спортивного объединения №Юность России""";"""Социализация студентов по средствам спортивно-оздоровительного туризма""";Лига здоровья нации;1078
Региональная Общественная Организация «Федерация студенческого туризма Удмуртской Республики»;«Родными тропами»;Российский Союз Молодежи;24;;;;;;
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;Первый всероссийский молодежный зимний форум «Жаркий снег»;Российский Союз Молодежи;26;;;;;;
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;Городское студенческое корпоративное пространство «Open hall»;Российский Союз Молодежи;27;;;;;;
Региональная Общественная Организация «Федерация студенческого туризма Удмуртской Республики»;Школа пилотов;Российский Союз Молодежи;28;;;;;;
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;Городское студенческое корпоративное пространство «Open hall»;Общество «Знание» России;36;;;;;;
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;Комплексный пешеходный туристический маршрут «Линии»;Общество «Знание» России;37;;;;;;
Региональная Общественная Организация «Федерация студенческого туризма Удмуртской Республики»;Родными тропами;Лига здоровья нации;41;;;;;;
Региональная Общественная Организация «Федерация студенческого туризма Удмуртской Республики»;Школа пилотов;Лига здоровья нации;42;;;;;;
Первичная организация профессионального союза работников агропромышленного комплекса Российской Федерации ФГБОУ ВПО «Алтайский государственный аграрный университет» (студентов) г. Барнаул;Всероссийская школа командного состава студенческих специализированных отрядов вузов Минсельхоза России;Российский Союз Молодежи;48;;;;;;
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;Первый всероссийский молодежный зимний форум «Жаркий снег»;Лига здоровья нации;49;;;;;;
Рязанское Региональное Отделение Всероссийской Общественной Организации «Всероссийский Студенческий Корпус Спасателей»;Добровольные студенческие спасательные отряды;Российский Союз Молодежи;90;;;;;;
Региональный благотворительный общественный фонд содействия деятельности в сфере пропаганды здорового образа жизни «Качество жизни»;«ПЕРВЫЙ ОПЫТ» - программа профессиональных стажировок для студентов/выпускников с инвалидностью учебных заведений среднего специального и высшего звена на интеграционном предприятии            ООО «Форте принт»;Общество «Знание» России;92;;;;;;
Саратовское региональное отделение Молодежной общероссийской общественной организации  «Российские студенческие отряды» (СРО МООО «РСО»);Экологический проект «Чистый город»;Российский Союз Молодежи;103;;;;;;
Уссурийская общественная организация «Авиационный клуб «Сокол»;Создание краевой молодёжно-студенческой планерной школы.;Российский Союз Молодежи;120;;;;;;
Краснодарская краевая общественная организация поддержки молодежного и студенческого предпринимательства;Студенческий бизнес-кемпинг «Пространство возможностей»;Российский Союз Молодежи;121;;;;;;
Первичная профсоюзная организация студентов и аспирантов Санкт-Петербургского политехнического университета Петра Великого профессионального союза работников народного образования и науки Российской Федерации;Международный молодежный энергетический клуб «Energy Club»;Российский Союз Молодежи;122;;;;;;
Первичная профсоюзная организация студентов и аспирантов Санкт-Петербургского политехнического университета Петра Великого профессионального союза работников народного образования и науки Российской Федерации;«Добровольческий Центр СПбПУ»;Российский Союз Молодежи;123;;;;;;
Фонд поддержки студентов им.Л.М. Адлера Альметьевского государственного нефтянногог института;Фонд им. Л.М. Адлера;Российский Союз Молодежи;167;;;;;;
"Негосударственное образовательное учреждение высшего профессионального образования ""Самарский институт управления""";"""Память поколений"":  межвузовская творческая лаборатория по поисковой и научно-исследовательской работе студентов и старшеклассников.";Национальный благотворительный фонд;171;;;;;;
Общественная организация «Студенческие строительные отряды Кировской области»;«Мы вместе» (Создание сводного студенческого отряда для совместной работы на строительном объекте с целью формирования чувства коллективизма и социальной ответственности).;Национальный благотворительный фонд;177;;;;;;
Общероссийская  спортивная  общественная  организация  «Национальная  федерация  бадминтона  России»;Первый  всероссийский  чемпионат  студенческой  лиги  по  бадминтону  (Кубок  лиги);Российский Союз Молодежи;183;;;;;;
"Общероссийская общественная организация ""Российский студенческий союз- за права студентов и аспирантов""";Мониторинг и защита прав обучающихся реорганизуемых вузов и филиалов;Российский Союз Молодежи;194;;;;;;
Пензенское региональное отделение Молодежной общероссийской ?общественной организации «Российские студенческие отряды»?;"""Во имя Победы"" - областной социальный веломарафон, посвященный 70-летию Победы в Великой Отечественной войне 1941-1945 гг.";Национальный благотворительный фонд;201;;;;;;
Региональная молодежная общественная организация «Союз содействия студентам и аспирантам Санкт-Петербургского государственного университета сервиса и экономики»;Создание Волонтерского экскурсионного центра;Российский Союз Молодежи;201;;;;;;
Томская региональная молодежная общественная организация «Объединение студентов, изучающих экономику и управление»;International Kindergarten;Российский Союз Молодежи;217;;;;;;
"Территориальная организация студентов столицы Общероссийской общественной организации - ""Российский студенческий профессиональный союз""";«Молодежная Перспектива»;Российский Союз Молодежи;231;;;;;;
"Первичная профсоюзная организация студентов и аспирантов Шуйского филиала федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Ивановский государственный университет"" профсоюза работников народного образ";"""Молодежь - наука - инновации!""";Российский Союз Молодежи;235;;;;;;
"Региональная молодежная общественная организация""Организация студентов, изучающих экономику и управление""";Молодые и перспективные;Российский Союз Молодежи;238;;;;;;
"Национальный благотворительный Фонд поддержки работ по адаптации городской среды для маломобильных групп населения ""Город без барьеров""";Научно - просветительская программа содействия развитию образовательных процессов молодежи: Второй Общероссийский конкурс студенческих работ в области Универсального дизайна и создания без барьерной городской среды для маломобильных групп населения.;Российский Союз Молодежи;245;;;;;;
"Первичная организация студентов ОГОБУ ВПО ""Смоленский государственный институт искусств""Смоленской региональной организации Российского профессионального союза работников культуры";"""Дань памяти"": картографическая информационная система поддержки поискового движения на Смоленщине в целях увековечения памяти погибших защитников Отечества и сохранения воинской славы России.";Национальный благотворительный фонд;250;;;;;;
Ассоциация профсоюзных организаций студентов Орловской области;«Интеллектуальный марафон»;Российский Союз Молодежи;252;;;;;;
Автономная некоммерческая организация «Поволжское агентство качества и сертификации профессионального образования»;Всероссийский студенческий фестиваль живого звука «Энергия Рока -2015»;Российский Союз Молодежи;255;;;;;;
Фонд изучения исторической перспективы;Крым в русской исторической памяти. Лекционный курс для студентов ВУЗов и молодежи Республики Крым и города федерального значения Севастополя;Российский Союз Молодежи;266;;;;;;
Первичная организация профсоюза работников и студентов Государственного образовательного учреждения Омской области «Медицинский колледж» Омской областной организации профсоюза работников здравоохранения РФ;«Время делать добро»;Российский Союз Молодежи;270;;;;;;
Некоммерческий Фонд «Фестиваль Студенческого Творчества «Фестос»;XXII Московский Фестиваль студенческого творчества «Фестос» (межрегиональный этап), посвященный 70-летию Великой Победы;Общество «Знание» России;282;;;;;;
Северо-Осетинское региональное отделение Общероссийской общественной организации «Российский союз спасателей»;Северо-Осетинский горный отряд студентов общественных спасателей;Российский Союз Молодежи;284;;;;;;
"Первичная профсоюзная организация студентов и аспирантов Шуйского филиала федерального государственного бюджетного образовательного учреждения высшего профессионального образования""Ивановский государственный университет"" профсоюза работников народного образования и науки Российской Федерации";"Клуб ""Студенческая семья """;Лига здоровья нации;323;;;;;;
Оренбургское региональное отделение Молодёжной общероссийской общественной организации «Российские Студенческие Отряды»;Организация и проведение фестиваля-конкурса сотворчества «Мы вместе» для детей-сирот и детей, оставшихся без попечения родителей и участников студенческих отрядов Оренбургской области, посвященного 70-летию Победы в Великой Отечественной Войне;Российский Союз Молодежи;325;;;;;;
"Ивановское региональное отделение Общероссийской общественной организации ""Российский студенческий спортивный союз";Наш дворовый тренер;Лига здоровья нации;326;;;;;;
Автономная некоммерческая организация по реализации социальных программ, направленных на воспитание детей, подростков и молодежи и повышение социальной активности населения «ДИАЛОГ»;Просветительско-спортивный студенческий Фестиваль, посвященный 70-летию Победы в Великой Отечественной войне;Российский Союз Молодежи;327;;;;;;
Автономная некоммерческая организация «Межрегиональный центр кинодокументалистики, образовательных и социальных программ»;Организация и проведение цикла информационно-просветительских практических семинаров в сфере кинематографа для студентов Москвы и Московской области, посвященных 70-летию Победы.;Российский Союз Молодежи;332;;;;;;
Общественная организация «Профессиональный союз журналистов России»;Московская мультимедийная сеть студенческих СМИ «Студмедиа»;Российский Союз Молодежи;337;;;;;;
Некоммерческое партнёрство «Клуб студентов и молодёжи «Первые»;Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Российский Союз Молодежи;338;;;;;;
Московская торгово-промышленная палата (ННО);Организация и проведение международного молодежного фестиваля креативных идей «Территория открытости» в Астрахани для взаимодействия инициативных молодых людей, школьников и студентов стран Прикаспийского региона.;Национальный благотворительный фонд;361;;;;;;
«Томская областная федерация пейнтбола»;Активный студенческий спорт;Российский Союз Молодежи;380;;;;;;
"Благотворительный фонд поддержки детского дома ""НАШ ДОМ""";Дискуссионный клуб школьников и студентов «Патриотический диалог»: осмысление социального равенства в молодежных творческих работах о Великой Отечественной войне.;Национальный благотворительный фонд;383;;;;;;
"Негосударственное образовательное учреждение дополнительного профессионального образования Институт повышения квалификации ""Конверсия""- Высшая школа бизнеса";«Открытая региональная школа благотворительности» (создание школы благотворительности для обучения школьников, студентов, пенсионеров, субъектов предпринимательской деятельности, представителей НКО и т.д.).;Национальный благотворительный фонд;385;;;;;;
Первичная профсоюзная организация студентов и аспирантов Санкт-Петербургского политехнического университета Петра Великого профессионального союза работников народного образования и науки Российской Федерации;Студенческое спортивное телевидение Санкт-Петербурга;Российский Союз Молодежи;385;;;;;;
"Автономная некоммерческая организация ""Студенческое молоднжное сообщество""";Семейное студенческое содружество;Лига здоровья нации;409;;;;;;
Некоммерческое партнерство «Молодежная хоккейная лига»;Развитие массового студенческого хоккея в Российской федерации;Российский Союз Молодежи;410;;;;;;
Воронежское региональное отделение Молодежной общероссийской общественной организации «Российские Студенческие Отряды»;Воронежские студенческие отряды. Работать, чтобы расти.;Российский Союз Молодежи;424;;;;;;
Межрегиональная Ассоциация молодежных общественных объединений Кавказа;"""Доброволец - миротворец"". (Поддержание действующих добровольческих инициатив, создание студенческих добровольческих отрядов, информирование о возможностях волонтерской деятельности).";Национальный благотворительный фонд;426;;;;;;
Автономная некоммерческая организация «Ассоциация студенческих педагогических отрядов»;«Поступай правильно!»;Общество «Знание» России;440;;;;;;
"Ростовское областное отделение Всероссийской молодежной общественной организации ""Российский союз студенческих организаций""";Формирование культуры здорового питания в студенческой среде;Лига здоровья нации;442;;;;;;
Автономная некоммерческая организация Высшего Профессионального Образования «Православный Институт святого Иоанна Богослова»;Формирование ценности семьи у студенческой молодежи;Лига здоровья нации;450;;;;;;
"Первичная профсоюзная организация студентов государственного образовательного учреждения высшего профессионального образования ""Рязанский государственный радиотехнический университет "" Профсоюза работников народного образования и науки Российской Федерации.";"""Нам доверена память"" (сохранение памяти о подвиге нашего народа в годы Великой Отечественной войны, увековечение памяти о защитниках Отечества, формирование у молодого поколения патриотического сознания).";Национальный благотворительный фонд;455;;;;;;
Региональная общественная организация «Федерация спортивного ориентирования Ульяновской области»;Разработка оздоровительной инновационной технологии физической подготовки студентов специальной медицинской группы на основе индивидуально-типологического подхода;Лига здоровья нации;457;;;;;;
“Межрегиональная молодежная общественная организация «Ассоциация студентов, изучающих экономику и управление “АЙСЕК”;«Россия глазами иностранцев» (“Explore Russia”);Российский Союз Молодежи;457;;;;;;
"Международный благотворительный общественный фонд ""Диалог культур - единый мир""";"студенческий фестиваль, посвящённый Году литературы в РФ ""РУССКИЙ ЯЗЫК - ДУША РОСИИ""";Российский Союз Молодежи;475;;;;;;
"Некоммерческое партнерство ""Ассоциация студентов ""СИГМА""";Мечта-3000;Общество «Знание» России;475;;;;;;
"Первичная профсоюзная организация студентов и аспирантов в ФГБОУ ВПО ""МГУ им. Н.П. Огарёва""";Создание условий для занятий физической культурой для студентов с ограниченными возможностями;Российский Союз Молодежи;479;;;;;;
Местная  общественная  организация-Первичная  профсоюзная  организация  студентов  Московского Энергетического  Института  (Технического  Университета)  региональной  общественной  организации  - Московской  городской  организации  Профсоюза  работников  народ;Всероссийское  студенческое  радио  (ВСР);Российский Союз Молодежи;487;;;;;;
Местная  общественная  организация-Первичная  профсоюзная  организация  студентов  Московского Энергетического  Института  (Технического  Университета)  региональной  общественной  организации  -Московской  городской  организации  Профсоюза  работников  народ;Живи  реальностью!;Российский Союз Молодежи;490;;;;;;
Региональная спортивная общественная организация инвалидов «Федерация спорта глухих города Москвы»;Открытый фестиваль массового студенческого спорта для лиц с нарушением по слуху «Звезда студенческого спорта»;Российский Союз Молодежи;508;;;;;;
"Некоммерческая организация ""Фонд содействия развитию культурного многообразия народов""";"""Центр гармонизации межэтнических отношений в молодежной среде"". (Минимизация количества конфликтов на межнациональной почве, снижение экстремистских настроений путем адаптации приезжих студентов в образовательный процесс).";Национальный благотворительный фонд;512;;;;;;
Белгородская региональная общественная организация содействия развития демократии и решению социальных проблем «Скорая Молодежная Помощь»;Проведение обучающих курсов для студентов ВУЗов по основам написания научных студенческих работ;Общество «Знание» России;527;;;;;;
Некоммерческое партнерство «Центр геополитических исследований «Берлек-Единство»;Популяризация  традиционных духовных ценностей Евразийской цивилизации среди студенческой молодежи регионов Российской Федерации и республик Центральной Азии;Российский Союз Молодежи;533;;;;;;
Общероссийская общественная организация  «ВСЕРОССИЙСКИЙ СТУДЕНЧЕСКИЙ СОЮЗ»;Саммит студенческих лидеров стран ШОС;Российский Союз Молодежи;544;;;;;;
Карельское Республиканское Отделение Общероссийской общественной организации «Российский Красный крест»;Центр  здоровья» для студентов среднего профессионального образования;Лига здоровья нации;547;;;;;;
Саранская городская общественная организация «Ассоциация интеллектуально-творческой молодёжи»;Фестиваль студенческих СМИ;Лига здоровья нации;552;;;;;;
Саранская городская общественная организация «Ассоциация интеллектуально-творческой молодёжи»;Социальная адаптация и социализация студентов из числа детей-сирот и детей, оставшихся без попечения родителей «Социальный адаптив»;Лига здоровья нации;555;;;;;;
Региональная молодежная общественная организация студентов и молодых специалистов,интересующихся экономикой и управлением «АЙСЕК»;"""Молодые и перспективные"" (""Young&Perspective"")";Российский Союз Молодежи;563;;;;;;
"Региональная молодёжная общественная организация ""Студенческий спортивный клуб Московского финансово-юридического университета МФЮА ""Альтаир""";Развитие массового студенческого спорта в России;Российский Союз Молодежи;564;;;;;;
"Региональноеобщественное объединение ""Уральский фонд поддержки молодежных инициатив""";"Международный студенческий форум ""Инновационные подходы к системе образования: российский и европейский опыт""";Лига здоровья нации;577;;;;;;
Удмуртское региональное отделение Молодежной общероссийской общественной организации «Российские Студенческие Отряды»;Обучение профессии «проводник пассажирского вагона» – бойцов студенческих отрядов;Общество «Знание» России;590;;;;;;
Удмуртское региональное отделение Молодежной общероссийской общественной организации «Российские Студенческие Отряды»;Республиканская школа бойцов студенческих строительных отрядов Удмуртской Республики;Общество «Знание» России;591;;;;;;
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СТУДЕНЧЕСКИЙ СПОРТИВНЫЙ СОЮЗ ТВЕРСКОЙ ОБЛАСТИ ""БУРЕВЕСТНИК""";Развитие студенческого спорта Тверской области;Российский Союз Молодежи;605;;;;;;
Негосударственное образовательное учреждение дополнительного образования «Академия лидерства»;«Участие студентов в управлении качеством образовательных услуг»;Российский Союз Молодежи;616;;;;;;
Ярославская областная молодёжная общественная организация «Союз студентов»;Комплексная программа развития студенческого футбола и мини-футбола – «Студенческая мини-футбольная лига»;Российский Союз Молодежи;631;;;;;;
Первичная профсоюзная организация студентов и аспирантов Магнитогорского государственного технического университета профсоюза работников народного образования и науки Российской федерации;Фрироуп-парк;Российский Союз Молодежи;635;;;;;;
Первичная профсоюзная организация студентов и аспирантов Магнитогорского государственного технического университета имени Г.И. Носова общероссийского профсоюза работников народного образования и науки Российской Федерации;"""Студенческий центр занятости""";Российский Союз Молодежи;637;;;;;;
Тюменская региональная общественная организация Центр закаливания и плавания в холодной воде «АквАйСпорт-Тюмень»;«Озеро Чемпионов» - доступный спорт студенту в каждый день.;Российский Союз Молодежи;639;;;;;;
Первичная профсоюзная организация студентов и аспирантов Магнитогорского государственного технического университета общероссийского профсоюза работников народного образования и науки Российской федерации;Развитие молодежного журнала «Студент» в рамках Студенческого пресс-центра МГТУ;Российский Союз Молодежи;640;;;;;;
Первичная профсоюзная организация студентов и аспирантов Магнитогорского государственного технического университета имени общероссийского профсоюза работников народного образования и науки Российской федерации;«МГТУ против наркотиков»;Российский Союз Молодежи;642;;;;;;
"Всероссийская молодежная общественная организация ""Российский союз студенческих организаций""";"Международный молодежный научный форум ""Ломоносов""";Общество «Знание» России;643;;;;;;
Первичная профсоюзная организация студентов и аспирантов Магнитогорского государственного технического университета общероссийского профсоюза работников народного образования и науки Российской федерации;«50 добрых дел любимому городу»;Российский Союз Молодежи;645;;;;;;
Первичная профсоюзная организация студентов и аспирантов Магнитогорского государственного технического университета профсоюза работников народного образования и науки Российской Федерации;60+;Российский Союз Молодежи;647;;;;;;
"Чувашская республиканская молодежная общественная организация ""Ассоциация органов ученического, студенческого самоуправления Чувашской республики ""Студенчество Чувашии""";Интеллектуально - правовая игра по станциям «Конституция»;Российский Союз Молодежи;653;;;;;;
Тамбовское  региональное  отделение  Общероссийской  общественной  организации  «Российский  союз молодых  ученых»;Проект  «Центр  созидательной  активности  студенческой  молодежи»;Российский Союз Молодежи;664;;;;;;
"Ростовское областное отделение Всероссийской Молодежной Общественной Организации ""Российский Союз Студенческих организаций""";"Проект по развитию студенческих объединений ""Я -лидер""";Российский Союз Молодежи;675;;;;;;
Кинешемская районная общественная организация Всероссийского общества инвалидов (ВОИ);Разработка и внедрение информационно-аналитической системы оценки и коррекции физического состояния студентов;Лига здоровья нации;696;;;;;;
Московское городское отделение Всероссийской общественной молодежной организации «Всероссийский студенческий корпус спасателей»;Сила духа;Лига здоровья нации;725;;;;;;
Оренбургское региональное отделение Молодёжной общероссийской общественной организации «Российские Студенческие Отряды»;Повышение уровня методической и организационной подготовки студенческих педагогических отрядов Приволжского федерального округа, в том числе развитие навыков написания и реализации профильных и тематических смен.;Общество «Знание» России;727;;;;;;
Южно-Российская Ассоциация студенческих профсоюзных организаций;Программа пропаганды здорового образа жизни  среди студентов вузов Южного и Северо-Кавказского федеральных округов;Лига здоровья нации;738;;;;;;
Первичная профсоюзная организация студентов и аспирантов в ФГБОУ ВПО «МГУ им. Н.П. Огарёва»;Обучающий семинар для студенческого актива вузов Приволжского федерального округа «Законодательные аспекты  организации работы в студенческих общежитиях»;Общество «Знание» России;799;;;;;;
"Региональная общественная организация ""Международный центр народной дипломатии и правам человека""";"Поуляризация исторического наследия, для профилактики конфликтов в студенческой среде Республики Дагестан, Краснодарского и Ставропольского краев: новые подходы межрегионального культурного обмена"".";Общество «Знание» России;814;;;;;;
Первичная профсоюзная организация студентов Сыктывкарского государственного университета;"театр особых людей ""Радость моя""";Лига здоровья нации;837;;;;;;
Региональная Общественная Организация «Федерация студенческого туризма Удмуртской Республики»;Родными тропами;Российский Союз Молодежи;11
Региональная Общественная Организация «Федерация студенческого туризма Удмуртской Республики»;Школа пилотов;Российский Союз Молодежи;12
"Санкт-Петербурская региональная общественная студенческая физкультурно-спортивная организация ""Буревестник""";Студенческая футбольная лига Санкт-Петербурга;Российский Союз Молодежи;22
"Региональная молодежная общественная организация ""Федерация велосипедного спорта Карачаево-Черкесской Республики""";Всекавказский студенческий молодежный веломарафон – 2015;Российский Союз Молодежи;29
Астраханская областная общественная организация по патриотическому, правовому и физическому развитию молодежи;"""Мы помним подвиг солдата"" (комплекс мероприятий патриотической направленности для  школьников, учащихся и студентов учебных заведений Астраханской области).";Национальный благотворительный фонд;34
"Фонд социального развития и охраны здоровья ""ФОКУС-МЕДИА""";Развитие навыков социализации и трудоустройства студентов профессиональных училищ и колледжей Воронежа и Калуги.;Общество «Знание» России;34
