name;type;reg;god
"Общественная организация ""Приморский студенческий спортивный союз ""БУРЕВЕСТНИК""";Общественная организация;Приморский край;2004
"Общественная организация ""Профессиональный союз студентов города Владивостока""";Профессиональный союз;Приморский край;
Общественная организация профсоюз студентов Барнаульского Государственного Педагогического Университета;Профессиональный союз;Алтайский край;2003
"Общественная организация ""Профсоюз студентов Бийского технологического института (филиал) федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Алтайский государственный технический университет им. И.И. Ползунова""";Профессиональный союз;Алтайский край;2003
"Общественная организация ""Профсоюз студентов Московского универститета потребительской кооперации""";Профессиональный союз;Московская область;
"Общественная организация Республики Хакасия ""Ассоциация выпускников и студентов Института информатики и телематики""";Общественная организация;Республика Хакасия;2009
"Общественная организация ""Санкт-Петербургская ассоциация студентов, изучающих технические специальности""";Общественная организация;Санкт-Петербург;
"Общественная организация ""Санкт-Петербургская географическая ассоциация студентов и молодых географов""";Общественная организация;Санкт-Петербург;
"Общественная организация ""Санкт-Петербургский студенческий центр ""ГИЛЕЛЬ""";Общественная организация;Санкт-Петербург;2001
"Общественная организация ""Свердловский областнй студенческий транспортный отряд ""Экспресс""";Общественная организация;Свердловская область;2003
"Общественная организация ""Свободный молодежно-студенческий союз Санкт-Петербурга""";Общественная организация;Санкт-Петербург;
"Общественная организация студентов добровольных спасателей Мурманской области ""Мурманский областной спасательный отряд""";Общественная организация;Мурманская область;2008
Общественная организация Центр студенческой семьи Надежда в г. Якутске;Общественная организация;Республика Саха (Якутия);2013
Общественная организация-первичная профсоюзная организация студентов МГТУ ГА профсоюза авиационных работников г. Москвы;Профессиональный союз;Москва;
Общественная первичная организация Профсоюза работников народного образования и науки Российской Федерации студентов Новосибирского государственного архитектурно-строительного университета (Сибстрин);Профессиональный союз;Новосибирская область;2002
Общественная первичная профсоюзная организация курсантов и студентов Балтийской Государственной Академии РФ;Профессиональный союз;Калининградская область;
Общественная первичная профсоюзная организация студентов Новосибирского государственного медицинского университета;Профессиональный союз;Новосибирская область;2002
Общественная первичная профсоюзная организация студентов Новосибирского Государственного Университета;Профессиональный союз;Новосибирская область;2002
"Общественная студенческая организация социальных работников Санкт-Петербурга ""Защита""";Общественная организация;Санкт-Петербург;
"Общественное объединение ""Профессиональный союз студентов Алтайской государственной академии образования имени В.М. Шукшина""";Профессиональный союз;Алтайский край;2002
Объединенная первичная профсоюзная организация работников и студентов Махачкалинского филиала МАДИ - РТУ и МАДК;Профессиональный союз;Республика Дагестан;
Объединенная первичная профсоюзная организация работников и студентов Северо - Кавказского исламского университета им. Мухаммад - Арифа;Профессиональный союз;Республика Дагестан;
Объединенная первичная профсоюзная организация сотрудников и студентов Тюменской государственной академии мировой экономики, управления и права;Профессиональный союз;Тюменская область;2002
Объединенная профсоюзная организация преподавателей, сотрудников и студентов Дагестанскогополитехнического колледжа;Профессиональный союз;Республика Дагестан;2002
"Омская региональная общественная организация ""Союз студентов Омского строительного колледжа""";Общественная организация;Омская область;2010
Оренбургская региональная молодежная общественная организация студентов, изучающих экономику и управление;Общественная организация;Оренбургская область;2010
"Оренбургская региональная общественная организация ""Ассоциация профсоюзных организаций студентов Оренбургской области""";Общественная организация;Оренбургская область;2008
"Оренбургская региональная общественная организация по поддержке студенческих коллективов ""Оренбургская Губерния""";Общественная организация;Оренбургская область;2013
"Оренбургское региональное отделение Всероссийской общественной молодёжной организации ""Всероссийский студенческий корпус спасателей""";Общественная организация;Оренбургская область;2013
"Орловская региональная общественная организация ""Орловская студенческая община""";Общественная организация;Орловская область;2005
"Орловское региональное отделение Молодежной общероссийской общественной организации ""Российские студенческие отряды""";Общественная организация;Орловская область;2013
Патриотический Союз студентов Республики Дагестан;Общественная организация;Республика Дагестан;2003
"Пензенская городская молодежная общественная организация ""Мобильные отряды студентов""";Общественная организация;Пензенская область;2010
"Пензенская областная общественная организация ""Штаб студенческих отрядов """;Общественная организация;Пензенская область;2003
"Пензенское региональное объединение общероссийской общественной организации ""Российская Ассоциация студенческих профсоюзных организаций высших учебных заведений"" (РАПОС)";Профессиональный союз;Пензенская область;
"Пензенское региональное отделение Молодежной общероссийской общественной организации ""Российские студенческие отряды""";Общественная организация;Пензенская область;2013
Первич. профсоюзная организация студентов Московской государственной академии тонкой химической технологии им. М.В. Ломоносова;Профессиональный союз;Москва;
"Первична профсоюзная организация студентов государственного образовательгого учреждения высшего профессионального образования ""Нижнетагильская государственная социально-педагогическая академия""";Профессиональный союз;Свердловская область;
Первичная организация профсоюза студентов и аспирантов Ивановского государственного университета;Профессиональный союз;Ивановская область;2002
Первичная организация Профсоюза студентов Курского государственного медицинского университета Курской областной организации профессионального союза работников здравоохранения Российской Федерации;Профессиональный союз;Курская область;2002
Первичная общественная организация профсоюза работников агропромышленного комплекса студентов института ветеринарной медицины ОмГАУ;Профессиональный союз;Омская область;2003
Первичная общественная организация Профсоюза работников народного образования и науки Российской Федерации студентов Новосибирского государственного педагогического университета;Профессиональный союз;Новосибирская область;2002
Первичная общественная профсоюзная организация студентов Алтайского государственного института искусств и культуры;Профессиональный союз;Алтайский край;2003
Первичная общественная профсоюзная организация студентов и аспирантов Омского государственного аграрного университета;Профессиональный союз;Омская область;2003
Первичная объединенная профсоюзная организация работников и студентов Казанского национального исследовательского технического университета имени А.Н.Туполева Татарской республиканской общественной организации - Профсоюз работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Татарстан (Татарстан);2002
Первичная объединенная профсоюзная организация работников и студентов филиала областного государственного бюджетного образовательного учреждения среднего профессионального образования Рязанский педагогический колледж в г. Касимове Профсоюза работников народного образования и науки Российской Федерации.;Профессиональный союз;Рязанская область;2013
Первичная объединенная профсоюзная организация сотрудников и студентов Стерлитамакского филиала Уфимского государственного нефтяного технического университета Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Республика Башкортостан;2003
Первичная объединенная прфсоюзная организация преподавателей, сотрудников и студентов Дагестанского механического техникума им. С. Орджоникидзе;Профессиональный союз;Республика Дагестан;2002
"Первичная организация Белгородской областной организации горно-металлургического профсоюза России ""Профорганизация студентов Старооскольского технологического института (филиала) Московского государственного института стали и сплавов (технологического университета)""";Профессиональный союз;Белгородская область;
"Первичная организация Белгородской областной организации горно-металлургического профсоюза РФ ""Профорганизация студентов Старооскольского геологоразведочного техникума""";Профессиональный союз;Белгородская область;
"Первичная организация Белгородской областной организации горно-металлургического профсоюза РФ ""Профорганизация студентов Старооскольского индустриального техникума""";Профессиональный союз;Белгородская область;
"Первичная организация Белгородской областной организации Общероссийского профессионального союза работников потребительской кооперации и предпринимательства ""Профорганизация студентов Белгородского университета кооперации, экономики и права""";Профессиональный союз;Белгородская область;2002
"Первичная организация Белгородской областной организации профсоюза работников здравоохранения РФ ""Профорганизация студентов областного образовательного автономного учреждения среднего профессионального образования ""Старооскольский медицинский колледж""";Профессиональный союз;Белгородская область;2002
"Первичная организация Белгородской региональной организации профсоюза работников агропромышленного комплекса Профорганизация студенческого профкома ""Белгородской государственной с/хоз академии""";Профессиональный союз;Белгородская область;2002
"Первичная организация Белгорордской региональной организациипрофсоюза работников агропромышленного комплекса ""Первичная организация студентов Губкинского горного техникума""";Профессиональный союз;Белгородская область;
Первичная организация профессионального союза работников агропромышленного комплекса Российской Федерации ФГБОУ ВПО Алтайский государственный аграрный университет (студентов) г. Барнаул;Профессиональный союз;Алтайский край;2002
"Первичная организация профосоюза работников и студентов Государственного образовательного учреждения Омской области ""Медицинский колледж""Омской областной организации профсоюза работников здравоохранения РФ";Профессиональный союз;Омская область;2006
Первичная организация профсоюза студентов и аспирантов Ивановского государственного химико-технологического университета;Профессиональный союз;Ивановская область;2002
"Первичная организация профсоюза муниципального учреждения здравоохранения ""Городская студенческая поликлиника г. Воронежа"" Воронежской областной организации профсоюза работников здравоохранения";Профессиональный союз;Воронежская область;
Первичная организация профсоюза работников и студентов Омской государственной медицинской академии профсоюза работников здравоохранения Российской Федерации;Профессиональный союз;Омская область;2003
Первичная организация профсоюза работников народного образования и науки РФ студентов СевМашВТУЗа;Профессиональный союз;Архангельская область;
Первичная организация Профсоюза сотрудников и студентов Читинской госмедакадемии;Профессиональный союз;Забайкальский край;2002
Первичная организация Профсоюза студентов Болховского педагогического колледжа;Профессиональный союз;Орловская область;2002
Первичная организация профсоюза студентов Воронежской государственной медицинской академии им. Н.Н. Бурденко г. Воронежа Воронежской областной организации профсоюза работников здравоохранения;Профессиональный союз;Воронежская область;2002
"Первичная организация профсоюза студентов государственного бюджетного образовательного учреждения высшего профессионального образования ""Смоленская государственная медицинская академия"" Министерства здравоохранения Российской Федерации Смоленской областной организации Профессионального союза работников здравоохранения Российской Федерации";Профессиональный союз;Смоленская область;2002
Первичная организация профсоюза студентов государственного областного образовательного учреждения среднего профессионального образования Воронежского базового медицинского колледжа Воронежской областной организации профсоюза работников здравоохранения;Профессиональный союз;Воронежская область;2002
Первичная организация Профсоюза студентов ГОУС ПО Кузнецкого медицинского колледжа;Профессиональный союз;Пензенская область;2002
Первичная организация профсоюза студентов Дальневосточного Государственного Гуманитарного Университета;Профессиональный союз;Хабаровский край;2003
Первичная организация Профсоюза студентов Калужского базового медицинского колледжа Калужской областной организации Профсоюза работников здравоохранения Российской Федерации;Профессиональный союз;Калужская область;2002
Первичная организация Профсоюза студентов Пензенского базового медицинского колледжа;Профессиональный союз;Пензенская область;2002
Первичная организация Профсоюза студентов Пензенского областного медицинского колледжа;Профессиональный союз;Пензенская область;2005
Первичная организация Профсоюза студентов Тихоокеанского Государственного Университета;Профессиональный союз;Хабаровский край;2003
Первичная организация студентов, интернов, ординаторов ГБОУ ВПО АГМУ Минздрава России профессионального союза работников здравоохранения Российской Федерации;Профессиональный союз;Алтайский край;2003
Первичная организация студентов Кемеровского государственного университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Кемеровская область;2002
Первичная организация студентов Кемеровского технологического института пищевой промышленности Профсоюза работников народного образования и науки РФ;Профессиональный союз;Кемеровская область;2002
Первичная организация студентов Краснодарского архитектурно-строительного техникума Профсоюза работников народного образования и науки РФ;Профессиональный союз;Краснодарский край;2003
Первичная организация студентов Кубанского государственного технологического университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Краснодарский край;2002
Первичная организация студентов Кубанского Государственного университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Краснодарский край;2003
Первичная организация студентов Кузбасского государственного технического университета им. Т.Ф. Горбачева Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Кемеровская область;2002
Первичная организация студентов Липецкого государственного педагогического университета Профессионального союза работников народного образования и науки Российской Федерации;Профессиональный союз;Липецкая область;2002
"Первичная организация студентов ОГБОУ СПО ""Смоленский базовый медицинский колледж"" Смоленской областной организации Профессионального союза работников здравоохранения Российской Федерации";Профессиональный союз;Смоленская область;2002
"Первичная организация студентов ОГОБУ ВПО ""Смоленский государственный институт искусств"" Смоленской региональной организации Российского профессионального союза работников культуры";Профессиональный союз;Смоленская область;2002
Первичная организация студентов Сибирского государственного индустриального университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Кемеровская область;2002
"Первичная организация студентов Смоленского областного государственного образовательного учреждения среднего профессионального образования ""Гагаринский педагогический колледж"" Профессионального союза работников народного образования и науки Российской Федерации";Профессиональный союз;Смоленская область;2002
"Первичная организация студентов Федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Смоленская государственная сельскохозяйственная академия"" Смоленской городской организации Профсоюза работников агропромышленного комплекса Российской Федерации";Профессиональный союз;Смоленская область;2012
"Первичная организация студентов федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Смоленский государственный университет"" Профессионального союза работников народного образования и науки Российской Федерации";Профессиональный союз;Смоленская область;2002
Первичная организация студентов филиала Кемеровского государственного университета в г.Анжеро-Судженске Профсоюза работников народного образования и науки РФ;Профессиональный союз;Кемеровская область;2002
Первичная организация студенческого профсоюза Курганского базового медицинского колледжа;Профессиональный союз;Курганская область;2003
первичная п/о студентов Краснотурьинского индустриального колледжа;Профессиональный союз;Свердловская область;
Первичная профсоюзаня организация работников и студентов Армавирского механическо-технологического института профсоюза работников народного образования и науки РФ;Профессиональный союз;Краснодарский край;2003
Первичная профсоюзная организация студентов Новосибирского государственного аграрного университета Профсоюза работников агропромышленного комплекса Российской Федерации;Профессиональный союз;Новосибирская область;2002
Первичная профсоюзная студенческая организация Московской государственной академии приборостроения и информатики;Профессиональный союз;Москва;
Первичная профсоюзная общественная организация студентов Волгоградского политехнического колледжа Волгоградской областной общественной организации Российского профессионального союза работников химических отраслей промышленности;Профессиональный союз;Волгоградская область;2002
"Первичная профсоюзная общественная организация студентов ФГОУ ВПО ""Калининградский государственный технического университет"" Российского профсоюза работников рыбного хозяйства";Профессиональный союз;Калининградская область;2003
Первичная профсоюзная организация студентов Ставропольского государственного педагогического института;Профессиональный союз;Ставропольский край;2002
"Первичная профсоюзная организация студентов государственного образовательного учреждения ""Шахтинское медицинское учреждение им. Г.В.Кузнецовой"" РОО Профсоюза работников здравоохранения РФ""";Профессиональный союз;Ростовская область;
"Первичная профсоюзная организация Горно-металлургического профсоюза России в ГБОУ СПО ""Кулебакский металлургический колледж"" (студентов)";Профессиональный союз;Нижегородская область;2014
"Первичная профсоюзная организация ""Лига студентов Алтайского государственного университета""";Профессиональный союз;Алтайский край;2010
Первичная профсоюзная организация Нижегородской областной организации Профессионального союза работников автомобильного и сельскохозяйственного машиностроения Российской Федерации в ГОУ СПО АКТТ (студентов);Профессиональный союз;Нижегородская область;2002
"Первичная профсоюзная организация Нижегородской областной организации Профессионального союза работников здравоохранения Российской Федерации в ГОУ СПО ""НМБК"" (студентов)";Профессиональный союз;Нижегородская область;2002
Первичная профсоюзная организация Нижегородской областной организации Профессионального союза работников народного образования и науки Российской Федерации в Арзамасском филиале ННГУ (студентов);Профессиональный союз;Нижегородская область;2002
Первичная профсоюзная организация Нижегородской областной организации Профессионального союза работников народного образования и науки Российской Федерации в НГЛУ (студентов);Профессиональный союз;Нижегородская область;2003
Первичная профсоюзная организация Нижегородской областной организации Профессионального союза работников народного образования и науки Российской Федерации в НГТУ (студентов);Профессиональный союз;Нижегородская область;2002
Первичная профсоюзная организация Нижегородской областной организации Профессионального союза работников народного образования и науки Российской Федерации в Нижегородском институте управления - филиале РАНХ и ГС (студентов);Профессиональный союз;Нижегородская область;2002
Первичная профсоюзная организация Нижегородской областной организации Профессионального союза работников народного образования и науки Российской Федерации в ННГАСУ (студентов);Профессиональный союз;Нижегородская область;2002
Первичная профсоюзная организация Нижегородской областной организации Профессионального союза работников народного образования и науки Российской Федерации в ННГУ им. Н.И. Лобачевского (студентов);Профессиональный союз;Нижегородская область;2002
Первичная профсоюзная организация Нижегородской областной организации Профсоюза работников народного образования и науки Российской Федерации в Дзержинском филиале НГТУ (студентов);Профессиональный союз;Нижегородская область;2002
Первичная профсоюзная организация Нижегородской областной организации Профсоюза работников народного образования и науки Российской Федерации в Перевозском строительном колледже (студентов);Профессиональный союз;Нижегородская область;
"Первичная профсоюзная организация преподавателей, сотрудников и студентов Уссурийского филиала Федерального государственного автономного образовательного учреждения высшего профессионального образования ""Дальневосточный федеральный университет"" и Школы педагогики в г. Уссурийске";Профессиональный союз;Приморский край;2003
Первичная профсоюзная организация преподавателей, сотрудников и студентов Челябинского государственного педагогического колледжа №2 общероссийского профсоюза работников народного образования и науки РФ;Профессиональный союз;Челябинская область;2007
Первичная профсоюзная организация преподавателей, сотрудников и студентов Челябинского педагогического колледжа № 1 Общероссийского профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Челябинская область;2002
"Первичная профсоюзная организация преподавателей, сотрудников, студентов и аспирантов Уральской государственной академии ветеринарной медицины Общероссийского общественного объединения ""Профессиональный союз работников агропромышленного комплекса Р.Ф.""";Профессиональный союз;Челябинская область;2003
Первичная профсоюзная организация преподавателей, сотрудников, студентов и аспирантов Челябинской государственной агроинженерной академии Профессионального союза работников агропромышленного комплекса Российской Федерации;Профессиональный союз;Челябинская область;2002
Первичная профсоюзная организация преподаввателей, сотрудников и студентов Уральского государственного колледжа имени И.И. Ползунова Горно-металлургического профсоюза России;Профессиональный союз;Свердловская область;2002
"Первичная профсоюзная организация Профессионального союза работников здравоохранения Российской Федерации студентов Государственного бюджетного образовательного учреждения высшего профессионального образования ""Саратовский государственный медицинский университет имени В.И. Разумовского"" Министерства здравоохранения Российской Федерации Саратовской области";Профессиональный союз;Саратовская область;2003
Первичная профсоюзная организация профсоюза студентов Калужского училища культуры;Профессиональный союз;Калужская область;2002
Первичная профсоюзная организация работников и студентов Армавирской государственной педагогической академии Профсоюза работников народного образования и науки РФ;Профессиональный союз;Краснодарский край;2012
Первичная профсоюзная организация работников и студентов Владимирского государственного университета Владимирской областной организации профессионального союза работников народного образования и науки Российской Федерации;Профессиональный союз;Владимирская область;2003
Первичная профсоюзная организация работников и студентов Волгоградского социально-педагогического колледжа Волгоградской областной организации профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Волгоградская область;2005
